title,authors,eprint_number,arXiv_category,doi,citation_count,abstract
Were recently reported MHz events planet mass primordial black hole mergers?,Guillem Domènech,2110.00550,astro-ph.CO,10.1140/epjc/s10052-021-09853-8,6,"A bulk acoustic wave cavity as high frequency gravitational wave antenna has recently detected two rare events at $5.5$MHz. Assuming that the detected events are due to gravitational waves, their characteristic strain amplitude lies at about $h_c\approx 2.5 \times 10^{-16}$. While a cosmological signal is out of the picture due to the large energy carried by the high frequency waves, the signal could be due to the merging of two planet mass primordial black holes ($\approx 4\times 10^{-4} M_\odot$) inside the Oort cloud at roughly $0.025$ pc ($5300$ AU) away. In this short note, we show that the probability of one such event to occur within this volume per year is around $1:10^{24}$, if such Saturn-like mass primordial black holes are $1\%$ of the dark matter. Thus, the detected signal is very unlikely to be due the merger of planet mass primordial black holes. Nevertheless, the stochastic background of saturn mass primordial black holes binaries might be seen by next generation gravitational wave detectors, such as DECIGO and BBO."
The stochastic gravitational wave background from close hyperbolic encounters of primordial black holes in dense clusters,"Juan García-Bellido, Santiago Jaraba, Sachiko Kuroyanagi",2109.11376,gr-qc,10.1016/j.dark.2022.101009,22,"The inner part of dense clusters of primordial black holes is an active environment where multiple scattering processes take place. Some of them give rise from time to time to bounded pairs, and the rest ends up with a single scattering event. The former eventually evolves to a binary black hole (BBH) emitting periodic gravitational waves (GWs), while the latter with a short distance, called close hyperbolic encounters (CHE), emits a strong GW burst. We make the first calculation of the stochastic GW background originating from unresolved CHE sources. Unlike the case for BBH, the low-frequency tail of the SGWB from CHE is sensitive to the redshift dependence of the event rate, which could help distinguish the astrophysical from the primordial black hole contributions. We find that there is a chance that CHE can be tested by third-generation ground-based GW detectors such as Einstein Telescope and Cosmic Explorer."
"Exploring the Nature of Dark Energy with
Modified Gravity and Machine Learning",Rubén Arjona Fernández,,,,0,
Revealing the Primordial Irreducible Inflationary Gravitational-Wave Background with a Spinning Peccei-Quinn Axion,"Yann Gouttenoire, Géraldine Servant, Peera Simakachorn",2108.10328,hep-ph,,27,"The primordial irreducible gravitational-wave background due to quantum vacuum tensor fluctuations produced during inflation spans a large range of frequencies with an almost scale-invariant spectrum but is too low to be detected by the next generation of gravitational-wave interferometers. We show how this signal is enhanced by a short temporary kination era in the cosmological history (less than 10 e-folds), that can arise at any energy scale between a GeV and the inflationary scale $10^{16}$ GeV. We argue that such kination era is naturally generated by a spinning axion before it gets trapped by its potential. It is usually assumed that the axion starts oscillating around its minimum from its initially frozen position. However, the early dynamics of the Peccei-Quinn field can induce a large kinetic energy in the axion field, triggering a kination era, either before or after the axion acquires its mass, leading to a characteristic peak in the primordial gravitational-wave background. This represents a smoking-gun signature of axion physics as no other scalar field dynamics is expected to trigger such a sequence of equations of state in the early universe. We derive the resulting gravitational-wave spectrum, and present the parameter space that leads to such a signal as well as the detectability prospects, in particular at LISA, Einstein Telescope, Cosmic Explorer and Big Bang Observer. We show both model-independent predictions and present as well results for two specific well-motivated UV completions for the QCD axion dark matter where this dynamics is built-in."
Strongly magnetized hot QCD matter and stochastic gravitational wave background,"Mohsen Khodadi, Ujjal Kumar Dey, Gaetano Lambiase",2108.09320,gr-qc,10.1103/PhysRevD.104.063039,7,"The first-order phase transitions in the early Universe are one of the well-known sources which release the stochastic background of gravitational waves. In this paper, we study the contribution of an external static and strong magnetic field on the stochastic background of gravitational waves (GWs) expected during QCD phase transition. In the light of the strongly magnetized hot QCD equation of state which deviated from the ideal gas up to the one-loop approximation, we estimate two phenomenologically important quantities: peak frequency redshifted to today ($f_{\rm peak}$) and GW strain amplitude ($h^2 \Omega_{gw}$). The trace anomaly induced by the magnetized hot QCD matter around the phase transition generates the stochastic background of GW with peak frequencies lower than the ideal gas-based signal (around nHz). Instead, the strain amplitudes corresponding to the peak frequencies are of the same order of magnitude of the expected signal from ideal gas. This may be promising in the sense that although the strong magnetic field could mask the expected stochastic background of GWs by upgrading the frequency sensitivity of detectors in the future, the magnetized GW is expected to be identified. Faced with the projected reach of detectors EPTA, IPTA, and SKA, we find that for the tail of the magnetized GW signals there remains a mild possibility of detection as it can reach the projected sensitivity of SKA."
Control and measurement of electric dipole moments in levitated optomechanics,"Gadi Afek, Fernando Monteiro, Benjamin Siegel, Jiaxiang Wang, Sarah Dickson",2108.04406,physics.optics,10.1103/PhysRevA.104.053512,8,"Levitated optomechanical systems are rapidly becoming leading tools for precision sensing, enabling a high level of control over the sensor's center of mass motion, rotation and electric charge state. Higher-order multipole moments in the charge distribution, however, remain a major source of backgrounds. By applying controlled precessive torques to the dipole moment of a levitated microsphere in vacuum, we demonstrate cancellation of dipole-induced backgrounds by 2 orders of magnitude. We measure the dipole moments of ng-mass spheres and determine their scaling with sphere size, finding that the dominant torques arise from induced dipole moments related to dielectric-loss properties of the SiO$_2$ spheres. Control of multipole moments in the charge distribution of levitated sensors is a key requirement to sufficiently reduce background sources in future applications."
Gravitational wave from axionlike particle inflation,"Wei Cheng, Tao Qian, Qing Yu, Hua Zhou, Rui-Yu Zhou",2107.04242,hep-ph,10.1103/PhysRevD.104.103502,10,"In this paper, we investigate the Axion-like Particle inflation by applying the multi-nature inflation model, where the end of inflation is achieved through the phase transition (PT). The events of PT should not be less than $200$, which results in the free parameter $n\geq404$. Under the latest CMB restrictions, we found that the inflation energy is fixed at $10^{15} \rm{GeV}$. Then, we deeply discussed the corresponding stochastic background of the primordial gravitational wave (GW) during inflation. We study the two kinds of $n$ cases, i.e., $n=404, 2000$. We observe that the magnitude of $n$ is negligible for the physical observations, such as $n_s$, $r$, $\Lambda$, and $\Omega_{\rm{GW}}h^2$. In the low-frequency regions, the GW is dominated by the quantum fluctuations, and this GW can be detected by Decigo at $10^{-1}~\rm{Hz}$. However, GW generated by PT dominates the high-frequency regions, which is expected to be detected by future 3DSR detector."
Prototype superfluid gravitational wave detector,"V. Vadakkumbatt, M. Hirschel, J. Manley, T.J. Clark, S. Singh",2107.00120,gr-qc,10.1103/PhysRevD.104.082001,14,"We study a cross-shaped cavity filled with superfluid $^4$He as a prototype resonant-mass gravitational wave detector. Using a membrane and a re-entrant microwave cavity as a sensitive optomechanical transducer, we were able to observe the thermally excited high-$Q$ acoustic modes of the helium at 20 mK temperature and achieved a strain sensitivity of $8 \times 10^{-19}$ Hz$^{-1/2}$ to gravitational waves. To facilitate the broadband detection of continuous gravitational waves, we tune the kilohertz-scale mechanical resonance frequencies up to 173 Hz/bar by pressurizing the helium. With reasonable improvements, this architecture will enable the search for GWs in the 1-30 kHz range, relevant for a number of astrophysical sources both within and beyond the Standard Model."
Baryogenesis via relativistic bubble expansion,"Iason Baldes, Simone Blasi, Alberto Mariotti, Alexander Sevrin, Kevin Turbang",2106.15602,hep-ph,10.1103/PhysRevD.104.115029,30,"We present a novel baryogenesis mechanism in which the asymmetry is sourced from heavy particles which either gain their mass or are created during bubble expansion in a strong first order phase transition. These particles then decay in a CP and baryon number violating way inside the bubble. The particles are inherently out-of-equilibrium and sufficiently dilute after wall crossing so the third Sakharov condition is easily met. Washout is avoided provided the reheat temperature is sufficiently below the scale of the heavy particles. The mechanism relies on moderate supercooling and relativistic walls which -- in contrast to electroweak baryogenesis -- generically leads to a sizable gravitational wave signal, although in the simplest realisations at frequencies beyond upcoming detectors. We present a simple example model and discuss the restrictions on the parameter space for the mechanism to be successful. We find that high reheat temperatures $T_{\rm RH} \gtrsim 10^{10}$ GeV are generally preferred, whereas stronger supercooling allows for temperatures as low as $T_{\rm RH} \sim 10^{6}$ GeV, provided the vacuum energy density is sufficiently suppressed. We briefly comment on using resonantly enhanced CP violation to achieve even lower scales."
"The Gravitational Wave Universe Toolbox - A software package to simulate observations of the gravitational wave universe with different detectors,","Shu-Xu Yi, Gijs Nelemans, Christiaan Brinkerink, Zuzanna Kostrzewa-Rutkowska, Sjoerd T. Timmer",2106.13662,astro-ph.HE,10.1051/0004-6361/202141634,10,"Context. As the importance of Gravitational Wave (GW) Astrophysics increases rapidly, astronomers in different fields and with different backgrounds can have the need to get a quick idea of which GW source populations can be detected by which detectors and with what measurement uncertainties.   Aims. The GW-Toolbox is an easy-to-use, flexible tool to simulate observations on the GW universe with different detectors, including ground-based interferometers (advanced LIGO, advanced VIRGO, KAGRA, Einstein Telescope, and also customised designs), space-borne interferometers (LISA and a customised design), pulsar timing arrays mimicking the current working ones (EPTA, PPTA, NANOGrav, IPTA) and future ones. We include a broad range of sources such as mergers of stellar mass compact objects, namely black holes, neutron stars and black hole-neutron stars; and supermassive black hole binaries mergers and inspirals, Galactic double white dwarfs in ultra-compact orbit, extreme mass ratio inspirals and Stochastic GW backgrounds.   Methods. We collect methods to simulate source populations and determine their detectability with the various detectors. The paper aims at giving a comprehensive description on the algorithm and functionality of the GW-Toolbox.   Results. The GW-Toolbox produces results that are consistent with more detailed calculations of the different source classes and can be accessed with a website interface (gw-universe.org) or as a python package (https://bitbucket.org/radboudradiolab/gwtoolbox). In the future, it will be upgraded with more functionality."
Universal 1020  Hz stochastic gravitational waves from photon spheres of black holes,"Kaishu Saito, Jiro Soda, Hirotaka Yoshino",2106.05552,gr-qc,10.1103/PhysRevD.104.063040,7,"We show that photon spheres of supermassive black holes generate high-frequency stochastic gravitational waves through the photon-graviton conversion. Remarkably, the frequency is universally determined as $m_e\sqrt{m_e /m_p} \simeq 10^{20} \text{Hz}$ in terms of the proton mass $m_p$ and the electron mass $m_e$.   It turns out that the density parameter of the stochastic gravitational waves $ \Omega_{ \text{gw}}$ could be $ 10^{-12}$. Since the existence of the gravitational waves from photon spheres is robust, it is worth seeking methods of detecting high-frequency gravitational waves around $10^{20}$Hz."
Detectable Gravitational Wave Signals from Affleck-Dine Baryogenesis,"Graham White, Lauren Pearce, Daniel Vagie, Alexander Kusenko",2105.11655,hep-ph,10.1103/PhysRevLett.127.181601,25,"In Affleck-Dine baryogenesis, the observed baryon asymmetry of the Universe is generated through the evolution of the vacuum expectation value (VEV) of a scalar condensate. This scalar condensate generically fragments into non-topological solitons (Q-balls). If they are sufficiently long-lived, they lead to an early matter domination epoch, which enhances the primordial gravitational wave signal for modes that enter the horizon during this epoch. The sudden decay of the Q-balls into fermions results in a rapid transition from matter to radiation domination, producing a sharp peak in the gravitational wave power spectrum. Avoiding the problem of gravitino over-abundance favours scenarios where the peak frequency of the resonance is within the range of the Einstein Telescope and/or Decigo. Therefore, we show this scenario provides an observable signal, providing a mechanism to test Affleck-Dine baryogenesis."
Gravity waves and primordial black holes in scalar warm little inflation,"Mar Bastero-Gil, Marta Subías Díaz-Blanco",2105.08045,hep-ph,10.1088/1475-7516/2021/12/052,25,"In warm inflation, dissipation due to the interactions of the inflaton field to other light degrees of freedom leads naturally to the enhancement of the primordial spectrum during the last 10-20 efolds of inflation. We study this effect in a variant of the Warm Little Inflaton model, where the inflaton couples to light scalars, with a quartic chaotic potential. These large fluctuations on re-entry will form light, evaporating Primordial Black Holes, with masses lighter than $10^6$ g. But at the same time they will act as a source for the tensors at second order. The enhancement is maximal near the end of inflation, which result in a spectral density of Gravitational Waves (GW) peaked at frequencies $f \sim O(10^3-10^5)$ Hz today, and with an amplitude $\Omega_{GW} \sim 10^{-10}-10^{-8}$. Although the frequency range is outside the reach of present and planned GW detectors, it might be reached in future high-frequency gravitational waves detectors, designed to search for cosmological stochastic GW backgrounds above MHz frequencies."
Massless preheating and electroweak vacuum metastability,"Jeff Kost, Chang Sub Shin, Takahiro Terada",2105.06939,hep-ph,10.1103/PhysRevD.105.043508,10,"Current measurements of Standard Model parameters suggest that the electroweak vacuum is metastable. This metastability has important cosmological implications, because large fluctuations in the Higgs field could trigger vacuum decay in the early universe. For the false vacuum to survive, interactions which stabilize the Higgs during inflation -- e.g., inflaton-Higgs interactions or non-minimal couplings to gravity -- are typically necessary. However, the post-inflationary preheating dynamics of these same interactions could also trigger vacuum decay, thereby recreating the problem we sought to avoid. This dynamics is often assumed catastrophic for models exhibiting scale invariance since these generically allow for unimpeded growth of fluctuations. In this paper, we examine the dynamics of such ""massless preheating"" scenarios and show that the competing threats to metastability can nonetheless be balanced to ensure viability. We find that fully accounting for both the backreaction from particle production and the effects of perturbative decays reveals a large number of disjoint ""islands of (meta)stability"" over the parameter space of couplings. Ultimately, the interplay among Higgs-stabilizing interactions plays a significant role, leading to a sequence of dynamical phases that effectively extend the metastable regions to large Higgs-curvature couplings."
Non-Gaussianity and the induced gravitational wave background,"Peter Adshead, Kaloian D. Lozanov, Zachary J. Weiner",2105.01659,astro-ph.CO,10.1088/1475-7516/2021/10/080,72,"Scalar metric fluctuations generically source a spectrum of gravitational waves at second order in perturbation theory, poising gravitational wave experiments as potentially powerful probes of the small-scale curvature power spectrum. We perform a detailed study of the imprint of primordial non-Gaussianity on these induced gravitational waves, emphasizing the role of both the disconnected and connected components of the primoridal trispectrum. Specializing to local-type non-Gaussianity, we numerically compute all contributions and present results for a variety of enhanced primordial curvature power spectra."
Storage Rings and Gravitational Waves: Summary and Outlook,"A. Berlin, M. Brüggen, O. Buchmueller, P. Chen, R.T. D'Agnolo",2105.00992,physics.acc-ph,,6,"We report some highlights from the ARIES APEC workshop on ``Storage Rings and Gravitational Waves'' (SRGW2021), held in virtual space from 2 February to 18 March 2021, and sketch a tentative landscape for using accelerators and associated technologies for the detection or generation of gravitational waves."
Dependence of the amplitude of gravitational waves from preheating on the inflationary energy scale,"Rong-Gen Cai, Zong-Kuan Guo, Pei-Ze Ding, Cheng-Jie Fu, Jing Liu",2105.00427,astro-ph.CO,10.1103/PhysRevD.105.023507,5,"Stochastic gravitational wave backgrounds (SGWBs) receive increasing attention and provide a new possibility to directly probe the early Universe. In the preheating process at the end of inflation, parametric resonance can generate large energy density perturbations and efficiently produce gravitational waves (GWs) which carry unique information about inflation. Since the peak frequency of such GWs is approximately proportional to the inflationary energy scale, $\Lambda_{\mathrm{inf}}$, GWs from preheating are expected to be observed by interferometer GW detectors in low-scale inflationary models. We investigate the dependence of the amplitude of such GWs on $\Lambda_{\mathrm{inf}}$, and find that the present energy spectrum of these GWs does not depend on $\Lambda_{\mathrm{inf}}$ only in the case of $\Lambda_{\mathrm{inf}}$ is above a critical value $\Lambda_{c}$, a parameter depending on the resonance strength. We numerically obtain $\Lambda_{c}$ in terms of the model parameters in linear approximation and then conduct lattice simulations to verify this result. For $\Lambda_{\mathrm{inf}}\lesssim\Lambda_{c}$, the amplitude of GWs quickly decreases with $\Lambda_{\mathrm{inf}}$ and becomes challenging to observe. In turn, observing such GWs in interferometer detectors also helps to determine $\Lambda_{\mathrm{inf}}$ and the resonance strength during the preheating."
Low scale leptogenesis and dark matter in the presence of primordial black holes,"Suruj Jyoti Das, Devabrat Mahanta, Debasish Borah",2104.14496,hep-ph,10.1088/1475-7516/2021/11/019,34,"We study the possibility of low scale leptogenesis along with dark matter (DM) in the presence of primordial black holes (PBH). For a common setup to study both leptogenesis and DM we consider the minimal scotogenic model which also explains light neutrino mass at radiative level. While PBH in the mass range of $0.1-10^5$ g can, in principle, affect leptogenesis, the required initial PBH fraction usually leads to overproduction of scalar doublet DM whose thermal freeze-out occurs before PBH evaporation. PBH can lead to non-thermal source of leptogenesis as well as dilution of thermally generated lepton asymmetry via entropy injection, with the latter being dominant. The parameter space of scotogenic model which leads to overproduction of baryon or lepton asymmetry in standard cosmology can be made consistent in the presence of PBH with appropriate initial mass and energy fraction. On the other hand, for such PBH parameters, the scalar DM is constrained to be in light mass regime where its freeze-out occurs after PBH evaporation. We then discuss the possibility of fermion singlet DM with $N_2$ leptogenesis in the same model where due to singlet nature of DM, its connection with PBH parameters and hence leptogenesis becomes stronger compared to the previous case."
Models of binary neutron star remnants with tabulated equations of state,"Panagiotis Iosif, Nikolaos Stergioulas",2104.13672,astro-ph.HE,,8,"The emergence of novel differential rotation laws that can reproduce the rotational profile of binary neutron star merger remnants has opened the way for the construction of equilibrium models with properties that resemble those of remnants in numerical simulations. We construct models of merger remnants, using a recently introduced 4-parameter differential rotation law and three tabulated, zero-temperature equations of state. The models have angular momenta that are determined by empirical relations, constructed through numerical simulations. After a systematic exploration of the parameter space of merger remnant equilibrium sequences, which includes the determination of turning points along constant angular momentum sequences, we find that a particular rotation law can reproduce the threshold mass to prompt collapse to a black hole with a relative difference of only $\sim 1\%$ with respect to numerical simulations, in all cases considered. Furthermore, our results indicate a possible correlation between the compactness of equilibrium models of remnants at the threshold mass and the compactness of maximum-mass nonrotating models. Another key prediction of binary neutron star merger simulations is a relatively slowly rotating inner region, where the angular velocity $\Omega$ (as measured by an observer at infinity) is mostly due to the frame dragging angular velocity $\omega$. In our investigation of the parameter space of the adopted differential rotation law, we naturally find quasi-spherical (Type A) remnant models with this property. Our investigation clarifies the impact of the differential rotation law and of the equation of state on key properties of binary neutron star remnants and lays the groundwork for including thermal effects in future studies."
Higher-order corrections to the bubble-nucleation rate at finite temperature,Andreas Ekstedt,2104.11804,hep-ph,10.1140/epjc/s10052-022-10130-5,20,"In this paper I discuss how to consistently incorporate higher-order corrections to the bubble-nucleation rate at finite temperature. Doing so I examine the merits of different approaches, with the goal of reducing uncertainties for gravitational-wave calculations. To be specific, the region of applicability and accuracy of the derivative expansion is discussed. The derivative expansion is then compared to a numerical implementation of the Gelfand-Yaglom theorem. Both methods are applied to popular first-order phase transition models, like a loop-induced barrier and a SM-EFT tree-level barrier. The results of these calculations are presented in easy-to-use parametrizations that can directly be used in gravitational-wave calculations. In addition, higher-order corrections for models with multiple scalar fields, such as singlet/triplet extensions, are studied. Lastly, the convergence and uncertainty of all calculations are discussed in detail. And I argue that leading-order results for the Standard Model with a tree-level barrier might be inaccurate."
Chiral gravitational effect in time-dependent backgrounds,"Kohei Kamada, Jun'ya Kume, Yusuke Yamada",2104.00583,hep-ph,10.1007/JHEP05(2021)292,11,"Gravitational counterpart of the chiral magnetic effect, which is referred as the chiral gravitational effect, can also be of interest in a cosmological setup. In this study, we investigate this effect in the time-dependent chiral asymmetric fermion background and in the expanding spacetime by formulating the effective action of gravitational waves. We also analyze the anomaly equation to see how the backreaction from gravitational waves to thermal chiral plasma occurs. We find that the non-trivial time dependence of chiral chemical potential, which can be induced in some scenarios of baryogenesis, is the key ingredient of the chiral gravitational effect. It turns out that the ""memory"" of the effect is imprinted on the high frequency gravitational waves propagating in the plasma. Cosmological implications and potential effects on the gravitational wave observation are briefly discussed."
The benefits of diligence: how precise are predicted gravitational wave spectra in models with phase transitions?,"Huai-Ke Guo, Kuver Sinha, Daniel Vagie, Graham White",2103.06933,hep-ph,10.1007/JHEP06(2021)164,32,"Models of particle physics that feature phase transitions typically provide predictions for stochastic gravitational wave signals at future detectors and such predictions are used to delineate portions of the model parameter space that can be constrained. The question is: how precise are such predictions? Uncertainties enter in the calculation of the macroscopic thermal parameters and the dynamics of the phase transition itself. We calculate such uncertainties with increasing levels of sophistication in treating the phase transition dynamics. Currently, the highest level of diligence corresponds to careful treatments of the source lifetime; mean bubble separation; going beyond the bag model approximation in solving the hydrodynamics equations and explicitly calculating the fraction of energy in the fluid from these equations rather than using a fit; and including fits for the energy lost to vorticity modes and reheating effects. The lowest level of diligence incorporates none of these effects. We compute the percolation and nucleation temperatures, the mean bubble separation, the fluid velocity, and ultimately the gravitational wave spectrum corresponding to the level of highest diligence for three explicit examples: SMEFT, a dark sector Higgs model, and the real singlet-extended Standard Model (xSM). In each model, we contrast different levels of diligence in the calculation and find that the difference in the final predicted signal can be several orders of magnitude. Our results indicate that calculating the gravitational wave spectrum for particle physics models and deducing precise constraints on the parameter space of such models continues to remain very much a work in progress and warrants care."
Stability of domain walls in models with asymmetric potentials,"Tomasz Krajewski, Jan Henryk Kwapisz, Zygmunt Lalak, Marek Lewicki",2103.03225,astro-ph.CO,10.1103/PhysRevD.104.123522,18,"We study the evolution of cosmological domain walls in models with asymmetric potentials. Our research goes beyond the standard case of spontaneous breaking of an approximate symmetry. When the symmetry is explicitly broken the potential exhibits nearly degenerate minima which can lead to creation of a metastable network of domain walls. The time after which the network will decay depends on the difference of values of the potential in minima, its asymmetry around the maximum separating minima and the bias of the initial distribution of the field. Effect of asymmetry around the maximum separating minima is novel one that we study with a new type of potential. Using numerical lattice simulations we determine relative importance of these factors on decay time of networks for generic potentials. We find that even very small departures from the symmetric initial distribution case lead to rapid decay of the domain wall network. As a result creation of a long lasting network capable of producing observable gravitational wave signals is much more difficult than previously thought. On the other hand details of the shape of the potential turn out to be much less important than was expected and the evolution of network from symmetric distribution is controlled by the difference of values of the potential in the minima."
Quantum frequency interferometry: With applications ranging from gravitational wave detection to dark matter searches,"Richard Howl, Ivette Fuentes",2103.02618,quant-ph,10.1116/5.0084821,4,"We introduce a quantum interferometric scheme that uses states that are sharp in frequency and delocalized in position. The states are frequency modes of a quantum field that is trapped at all times in a finite volume potential, such as a small box potential. This allows for significant miniaturization of interferometric devices. Since the modes are in contact at all times, it is possible to estimate physical parameters of global multi-mode channels. As an example, we introduce a three-mode scheme and calculate precision bounds in the estimation of parameters of two-mode Gaussian channels. This scheme can be implemented in several systems, including superconducting circuits, cavity-QED and cold atoms. We consider a concrete implementation using the ground state and two phononic modes of a trapped Bose-Einstein condensate. We apply this to show that frequency interferometry can improve the sensitivity of phononic gravitational waves detectors by several orders of magnitude, even in the case that squeezing is much smaller than assumed previously and that the system suffers from short phononic lifetimes. Other applications range from magnetometry, gravimetry and gradiometry to dark matter/energy searches."
Frequency deviations in universal relations of isolated neutron stars and postmerger remnants,"Georgios Lioutas, Andreas Bauswein, Nikolaos Stergioulas",2102.12455,astro-ph.HE,10.1103/PhysRevD.104.043011,26,"We relate the fundamental quadrupolar fluid mode of isolated non-rotating NSs and the dominant oscillation frequency of neutron star merger remnants. Both frequencies individually are known to correlate with certain stellar parameters like radii or the tidal deformability, which we further investigate by constructing fit formulae and quantifying the scatter of the data points from those relations. Furthermore, we compare how individual data points deviate from the corresponding fit to all data points. Considering this point-to-point scatter we uncover a striking similarity between the frequency deviations of perturbative data for isolated NSs and of oscillation frequencies of rapidly rotating, hot, massive merger remnants. The correspondence of frequency deviations in these very different stellar systems points to an underlying mechanism and EoS information being encoded in the frequency deviation. We trace the frequency scatter back to deviations of the tidal Love number from an average tidal Love number for a given stellar compactness. Our results thus indicate a possibility to break the degeneracy between NS radii, tidal deformability and tidal Love number. We also relate frequency deviations to the derivative of the tidal deformability with respect to mass. Our findings generally highlight a possibility to improve GW asteroseismology relations where the systematic behavior of frequency deviations is employed to reduce the scatter in such relationships and consequently increase the measurement accuracy. In addition, we relate the f-mode frequency of static stars and the dominant GW frequency of merger remnants. We find an analytic mapping to connect the masses of both stellar systems, which yields particularly accurate mass-independent relations between both frequencies and between the postmerger frequency and the tidal deformability."
Rare Events Detected with a Bulk Acoustic Wave High Frequency Gravitational Wave Antenna,"Maxim Goryachev, William M. Campbell, Ik Siong Heng, Serge Galliou, Eugene N. Ivanov",2102.05859,gr-qc,10.1103/PhysRevLett.127.071102,23,"This work describes the operation of a High Frequency Gravitational Wave detector based on a cryogenic Bulk Acoustic Wave (BAW) cavity and reports observation of rare events during 153 days of operation over two seperate experimental runs (Run 1 and Run 2). In both Run 1 and Run 2 two modes were simultaneously monitored. Across both runs, the 3rd overtone of the fast shear mode (3B) operating at 5.506 MHz was monitored, while in Run 1 the second mode was chosen to be the 5th OT of the slow shear mode (5C) operating at 8.392 MHz. However, in Run 2 the second mode was selected to be closer in frequency to the first mode, and chosen to be the 3rd overtone of the slow shear mode (3C) operating at 4.993 MHz. Two strong events were observed as transients responding to energy deposition within acoustic modes of the cavity. The first event occurred during Run 1 on the 12/05/2019 (UTC), and was observed in the 5.506 MHz mode, while the second mode at 8.392 MHz observed no event. During Run 2, a second event occurred on the 27/11/2019(UTC) and was observed by both modes. Timing of the events were checked against available environmental observations as well as data from other detectors. Various possibilities explaining the origins of the events are discussed."
Corrections to the energy budget of early universe phase transitions,Felix Giese,,,10.3204/PUBDB-2021-04477,0,
"High frequency gravitational waves: generation, detection","V. Pustovoit, V. Gladyshev, V. Kauts, A. Morozov, P. Nikolaev",,,10.1088/1742-6596/2081/1/012009,0,
Detecting planetary-mass primordial black holes with resonant electromagnetic gravitational-wave detectors,"Nicolas Herman, André Füzfa, Léonard Lehoucq, Sébastien Clesse",2012.12189,gr-qc,10.1103/PhysRevD.104.023524,30,"The possibility to detect gravitational waves (GW) from planetary-mass primordial black hole (PBH) binaries with electromagnetic (EM) detectors of high-frequency GWs is investigated. We consider two patented experimental designs, based on the inverse Gertsenshtein effect, in which incoming GWs passing through a static magnetic field induce EM excitations inside either a TM cavity or a TEM waveguide. The frequency response of the detectors is computed for post-newtonian GW waveforms. We find that such EM detectors based on current technology may achieve a strain sensitivity down to $h \sim 10^{-30}$, which generates an EM power variation of $10^{-10}$ W. This allows the detection of PBH binary mergers of mass around $10^{-5} M_\odot$ if they constitute more than $0.01$ percent of the dark matter, as suggested by recent microlensing observations. We envision that this class of detectors could also be used to detect cosmological GW backgrounds and probe sources in the early Universe at energies up to the GUT scale."
Testing the dark SU(N) Yang-Mills theory confined landscape: From the lattice to gravitational waves,"Wei-Chih Huang, Manuel Reichert, Francesco Sannino, Zhi-Wei Wang",2012.11614,hep-ph,10.1103/PhysRevD.104.035005,74,"We pave the way for future gravitational-wave detection experiments, such as the Big Bang Observer and DECIGO, to constrain dark sectors made of SU(N) Yang-Mills confined theories. We go beyond the state-of-the-art by combining first principle lattice results and effective field theory approaches to infer essential information about the non-perturbative dark deconfinement phase transition driving the generation of gravitational-waves in the early universe, such as the order, duration and energy budget of the phase transition which are essential in establishing the strength of the resulting gravitational-wave signal."
Oscillations in the stochastic gravitational wave background from sharp features and particle production during inflation,"Jacopo Fumagalli, Sébastien Renaux-Petel, Lukas T. Witkowski",2012.02761,astro-ph.CO,10.1088/1475-7516/2021/08/030,107,"We identify a characteristic pattern in the scalar-induced stochastic gravitational wave background from particle production during inflation. If particle production is sufficiently efficient, the scalar power spectrum exhibits $\mathcal{O}(1)$ oscillations periodic in $k$, characteristic of a sharp feature, with an exponentially enhanced envelope. We systematically study the properties of the induced spectrum of gravitational waves sourced after inflation and find that this inherits the periodic structure in $k$, resulting in a peak in the gravitational wave energy density spectrum with $\mathcal{O}(10 \%)$ modulations. The frequency of the oscillation in the scalar power spectrum is determined by the scale of the feature during inflation and in turn sets the frequency of modulations in the gravitational wave signal. We present an explicit realisation of this phenomenon in the framework of multifield inflation, in the form of a strong sharp turn in the inflationary trajectory. The resulting stochastic background is potentially detectable in future gravitational wave observatories, and considerations of backreaction and perturbativity can be used to constrain the parameter space from the theoretical side. Our work motivates more extensive research linking primordial features to observable properties of the stochastic background of gravitational waves, and dedicated development in data analysis for their detection."
